Kms_Driven,new_Selling_Price,new_Original_Price,car_age,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
27000.0,335000.0,559000.0,10,0,0,1,0,1
43000.0,475000.0,953999.9999999999,11,0,1,0,0,1
6900.0,725000.0,985000.0,7,0,0,1,0,1
5200.0,285000.0,415000.00000000006,13,0,0,1,0,1
42450.0,459999.99999999994,687000.0,10,0,1,0,0,1
2071.0,925000.0,983000.0,6,0,1,0,0,1
18796.0,675000.0,811999.9999999999,9,0,0,1,0,1
41536.0,650000.0,861000.0,9,0,1,0,0,1
41536.0,875000.0,889000.0,8,0,1,0,0,1
42367.0,745000.0,892000.0,9,0,1,0,0,1
2135.0,285000.0,360000.0,7,0,0,1,0,1
51000.0,685000.0,1038000.0000000001,9,0,1,0,0,1
15000.0,750000.0,994000.0,9,0,0,1,1,0
26000.0,610000.0,771000.0,9,0,0,1,0,1
77427.0,225000.0,721000.0,15,0,0,1,0,1
41536.0,775000.0,1079000.0,8,0,1,0,0,1
41536.0,725000.0,1079000.0,9,0,1,0,0,1
41536.0,775000.0,1079000.0,8,0,1,0,0,1
35500.0,325000.0,509000.0,9,1,0,0,0,1
41442.0,265000.0,798000.0,14,0,0,1,0,1
25000.0,285000.0,395000.0,8,0,0,1,0,1
2400.0,490000.00000000006,571000.0,7,0,0,1,0,1
50000.0,440000.00000000006,801000.0,13,0,0,1,1,0
45280.0,250000.0,346000.0,10,0,0,1,0,1
56879.0,290000.0,441000.0,11,0,0,1,0,1
20000.0,300000.0,499000.0,13,0,0,1,0,1
55138.0,415000.00000000006,587000.0,11,0,0,1,0,1
16200.0,600000.0,649000.0,7,0,0,1,0,1
44542.0,195000.0,395000.0,14,0,0,1,0,1
45000.0,745000.0,1038000.0000000001,9,0,1,0,0,1
51439.0,310000.0,598000.0,12,0,1,0,0,1
54200.0,235000.0,488999.99999999994,13,0,0,1,0,1
39000.0,495000.0,749000.0,10,0,1,0,0,1
45000.0,600000.0,994999.9999999999,10,0,1,0,0,1
45000.0,550000.0,806000.0,10,0,1,0,0,1
49998.0,295000.0,774000.0,13,1,0,0,0,1
48767.0,465000.00000000006,720000.0,9,0,0,1,0,1
127000.0,35000.0,227999.99999999997,21,0,0,1,0,1
10079.0,300000.0,376000.0,8,0,0,1,0,1
62000.0,225000.0,798000.0,21,0,0,1,0,1
24524.0,585000.0,787000.0,8,0,0,1,1,0
46706.0,254999.99999999997,398000.0,10,0,0,1,0,1
58000.0,195000.0,715000.0,16,0,0,1,0,1
45780.0,550000.0,806000.0,10,0,1,0,0,1
50000.0,125000.0,269000.0,12,0,0,1,0,1
15000.0,750000.0,1204000.0,10,0,0,1,1,0
64532.0,265000.0,488999.99999999994,11,0,0,1,0,1
65000.0,105000.0,415000.00000000006,18,0,0,1,0,1
25870.0,580000.0,771000.0,9,0,0,1,0,1
37000.0,775000.0,928999.9999999999,7,0,0,1,1,0
104707.0,1490000.0,3061000.0,12,0,1,0,1,0
40000.0,2300000.0,3061000.0,9,0,1,0,1,0
15000.0,1800000.0,1977000.0,7,0,1,0,1,0
135000.0,1600000.0,3061000.0,11,0,1,0,1,0
90000.0,275000.0,1021000.0000000001,19,0,0,1,0,1
70000.0,360000.0,1504000.0,15,0,0,1,1,0
40534.0,450000.0,727000.0,9,0,0,1,0,1
50000.0,475000.0,1854000.0,14,0,0,1,0,1
39485.0,409999.99999999994,680000.0,10,0,0,1,0,1
41000.0,1998999.9999999998,3596000.0,10,0,1,0,1,0
40001.0,695000.0,1861000.0,11,0,0,1,0,1
40588.0,450000.0,770000.0,9,0,0,1,0,1
78000.0,1875000.0,3596000.0,10,0,1,0,1,0
47000.0,2350000.0,3596000.0,9,0,1,0,1,0
6000.0,3300000.0,3622999.9999999995,7,0,1,0,1,0
45000.0,475000.0,695000.0,10,0,1,0,0,1
11000.0,1975000.0,2315000.0,7,0,0,1,1,0
59000.0,925000.0,2045000.0,14,0,1,0,0,1
88000.0,434999.99999999994,1374000.0,13,0,0,1,0,1
